Layer,Name,GEOID,INC_2020-2024,POV_2020-2024
(Indicator name),,,"Median household income, 2020-2024","Poverty rate (% of residents), 2020-2024"
(Definition),,,"Income in the past 12 months.","Percent of residents in families that are in poverty (below the Federal Poverty Level)."
(Citation),,,"U.S. Census Bureau - American Community Survey (ACS) (Table B19013)","U.S. Census Bureau - American Community Survey (ACS) (Table B17001)"
---,---,---,---,---
Community area,Rogers Park,1,63293.40698066556,17.476964689546712
Community area,Norwood Park,10,114149.65984845998,5.366861420925904
Community area,Jefferson Park,11,97374.54676004623,5.58079121711678
Community area,Forest Glen,12,139311.02517710617,4.750916408479354
Community area,North Park,13,68716.37674567565,16.937650691684304
Community area,Albany Park,14,87083.51175687861,11.989618877275305
Community area,Portage Park,15,92328.88122555522,10.754437712813203
Community area,Irving Park,16,93122.02124928293,10.712245870491989
Community area,Dunning,17,88162.72773993322,9.001393344336929
Community area,Montclare,18,73308.6421283585,14.598814217250414
Community area,Belmont Cragin,19,69937.27463039989,15.797716327599902
Community area,West Ridge,2,71334.90396562577,19.410325572315884
Community area,Hermosa,20,70459.88115335886,13.674981103491403
Community area,Avondale,21,91966.21809322323,13.210001447901234
Community area,Logan Square,22,111832.89554093764,10.532036582070678
Community area,Humboldt Park,23,58409.067092820536,26.772809632415342
Community area,West Town,24,141145.37633519724,8.113390296034744
Community area,Austin,25,51826.85140200681,23.39915665489515
Community area,West Garfield Park,26,43272.653887734705,30.583343705550348
Community area,East Garfield Park,27,39861.333804728056,37.25619502213175
Community area,Near West Side,28,116881.23240702033,16.113466915331365
Community area,North Lawndale,29,47668.100820325926,31.612369960064694
Community area,Uptown,3,73109.52685334624,18.635561252762486
Community area,South Lawndale,30,58666.08009178724,19.684704389396686
Community area,Lower West Side,31,76947.75654793243,17.0483244470296
Community area,Loop,32,119221.58409685314,11.145882421305094
Community area,Near South Side,33,122423.50649646156,9.13743479542562
Community area,Armour Square,34,45651.44933519941,23.472812800749498
Community area,Douglas,35,60402.6353356295,25.07047708959416
Community area,Oakland,36,32240.587511620397,37.55064414011809
Community area,Fuller Park,37,22023.81053747795,56.092452602751834
Community area,Grand Boulevard,38,58522.89942984056,26.07554221099235
Community area,Kenwood,39,73799.33922476385,22.80303404528529
Community area,Lincoln Square,4,91363.09353886107,9.492826160611601
Community area,Washington Park,40,37542.62252253063,41.06961902426039
Community area,Hyde Park,41,77008.65152391497,18.881849597331133
Community area,Woodlawn,42,42469.38244910356,32.36085607108944
Community area,South Shore,43,45587.395930458966,28.54911985536155
Community area,Chatham,44,48332.46061953288,24.344764397374455
Community area,Avalon Park,45,60547.83129661174,10.37790970096969
Community area,South Chicago,46,45124.71781639679,29.476482203078554
Community area,Burnside,47,47058.44498363915,26.812367110551367
Community area,Calumet Heights,48,65397.43058496081,17.59104477002359
Community area,Roseland,49,54361.768530578505,22.685782857058463
Community area,North Center,5,147701.19791605618,5.0468118230197225
Community area,Pullman,50,62495.27857437895,17.155231426710444
Community area,South Deering,51,47962.69064449837,30.915626842848553
Community area,East Side,52,63386.104442290256,19.466462009908206
Community area,West Pullman,53,54295.78081994608,23.492372895430137
Community area,Riverdale,54,16946.246214701485,61.597492856021375
Community area,Hegewisch,55,61745.599215031776,9.820789386820765
Community area,Garfield Ridge,56,93530.6963911605,6.900916818973424
Community area,Archer Heights,57,67121.40569175016,10.576309707906411
Community area,Brighton Park,58,64056.544290970305,17.794420225613372
Community area,McKinley Park,59,85030.15892961032,14.161813742668409
Community area,Lake View,6,121377.33495574856,8.177883673684699
Community area,Bridgeport,60,77773.97644318096,17.844483095439273
Community area,New City,61,57802.12297779982,27.08528478539585
Community area,West Elsdon,62,77751.55750530158,10.90822498749382
Community area,Gage Park,63,62322.79043974873,15.489090166760377
Community area,Clearing,64,80699.66444176168,8.050440864009609
Community area,West Lawn,65,69578.52804161936,17.787533519787253
Community area,Chicago Lawn,66,54010.640858633924,21.18835784130739
Community area,West Englewood,67,41909.08573887645,31.99288761871559
Community area,Englewood,68,32084.861861296926,33.43518239763257
Community area,Greater Grand Crossing,69,42358.17755582547,29.790813437577118
Community area,Lincoln Park,7,156895.9240216817,8.536916233911812
Community area,Ashburn,70,83932.28062293658,11.16970473753626
Community area,Auburn Gresham,71,48296.85167320638,28.01034327487869
Community area,Beverly,72,130925.63311270237,5.8449425167862445
Community area,Washington Heights,73,64755.74300878484,16.245325105477068
Community area,Mount Greenwood,74,112562.28427843579,5.374587826358155
Community area,Morgan Park,75,72941.34692784907,17.910979154342495
Community area,O'Hare,76,81993.49818106442,8.41023295172622
Community area,Edgewater,77,75774.40968629313,16.394075360744196
Community area,Near North Side,8,125101.3268858388,9.622477520972243
Community area,Edison Park,9,130127.73198417123,8.120875814557536
